data,label_vector
"[1.3623567893876327, -1.067167838259184, -0.3707795780777154, -1.475699715113988, 1.2982436482240178, 0.7089098201934734, -0.5137799201570978, -1.5993913068229464, -2.668909095476569, 0.9272415511805623, -0.09313602858406722, 0.2824067488280892, 0.16424124781733604, -0.2098628480339062, 0.5451596880628722, 0.7095681182926243, -0.7978738733016246, 0.0008969741251222187, 0.40648146605519403, 0.2488756402371488, -0.13889373018561224, -0.6721068536553426, -0.07410355671684464, 0.6759756510816297, -1.7156035598904453, 2.064001422553919, 0.7695783764969, 0.12728896606632653, -0.8090338602010414, 1.745974903856216, 0.7451574010595404, -1.4316678042604376, 0.6292563298531294, -0.4656083358575899, -0.6411816245543214, 0.5685748130733709, 0.7835065669399343, 0.33579874541649385, -1.1412276820425098, 0.686329723226217, 0.23984632521890428, -1.6459647686943981, -1.7622057895935443, 0.5546185393233963, -0.7977417463506723, 0.49976750588695273, -0.5638726251311146, 0.7107847986287814, -1.5278117710811838, 0.5871384842265551, -1.123372389068308, -1.2416475502585687, -2.519336792731449, 0.8012811155458897, -1.6019051330788305, -1.4903739225092767, 0.5139627944550675, 0.901735787683781, 0.40198758549989727, -0.16445387119491583, -0.4758600381127745, 0.6894501065074968, 1.2977986861539492, -0.9897376512675434, 1.5422093918315585, -1.0129716129067128, -0.4532895505836935, 0.014408992387378331, 2.420045255918717, 0.853612411600942, -0.022511250440130883, -1.6364400783743074, -0.19147159214860804, 0.2675164462404238, 0.0026398906086043876, 0.2292008054526768, -0.29024157696739594, -0.32026472158461683, 0.4769745680204191, -1.3619733891450263, -0.5844823338671923, -1.606606291231282, -0.022791633673746814, -0.9449313814645204, 0.7388333372118006, -1.2688820857842307, 0.8283110586976117, 1.9835333530610466, 2.6712587782129704, -0.3084413414688156, -1.0427436291213876, 1.1368112055156525, 2.0420786845814964, 1.3312176957161186, -0.0815118962546014, 0.03723583147213043, -1.6101542892217282, 0.15447560766605528, -0.16416662371749982, 0.1865769761703977]","[1, 1, 0, 2, 0, 0, 1, 1, 2, 1, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 2, 1, 1, 2, 2, 0, 0, 2, 1, 0, 1, 2, 0, 2, 1, 0, 2, 0, 2, 0, 1, 2, 1, 0, 2, 2, 1, 2, 2, 0, 0, 0, 2, 0, 2, 1, 2, 2, 0, 1, 0, 1, 2, 1, 2, 0, 2, 0, 2, 2, 0, 2, 0, 1, 0, 1, 2, 1, 1, 2, 2, 0, 1, 2, 0, 1, 0, 0, 2, 1]"
"[0.17114002557306443, 0.47074690386124657, -0.30179120169067863, 1.3976604127519194, 0.37882462230452874, -0.9936282930066073, 1.441169372666885, 0.07983869869312751, -0.4808463244670271, -0.8468235943019098, 0.037951566959897244, -1.0155722630006612, -0.3782215977369966, -1.0658210140922932, -1.005418462568701, -1.0143664921820266, -0.4434052078082922, -0.8059036785539148, 1.051962954663518, 0.5328889329321846, -1.0772212795672569, -1.626481454931363, 1.3004081289424534, -0.8896809254489119, 0.5596202379717067, -0.7490704285048555, 1.417818943070482, -0.9175255625971851, -1.1660236847842609, -1.7339765743186346, 1.2941358417614977, 1.2795513986121596, 0.3835811667769887, 1.103740619056602, -2.2781488810649693, 0.24953415794317482, -0.015885145966914066, 0.2816020627515729, 0.7141400412018193, 1.2071366155525656, 0.5223247384459702, 0.32791054465948527, -0.5496536583660804, 0.23760840376569603, 1.0578473583550092, -0.2983021091294727, -0.8983746943488432, -0.9665554319605483, 0.053244482260665756, -0.5801949310302361, 0.4506130488801488, 1.9177194472037151, -2.5325067831102412, -0.13708734753691348, -0.6166483991362804, -1.067930348926428, -0.2535069954533301, -0.12730525960175673, -0.7528729344402184, -0.5247090734628356, -0.2733323573782227, 0.6554153415274738, 0.5720167706721137, 1.250182562902332, 0.043266968928223806, -2.6149769969814085, 0.8954907153513122, -0.90154201918381, 0.07359658771726964, 0.26490866829986964, 1.2139106084538165, 2.2456730741496305, -0.7766686639858966, -0.4719773737658679, 0.5354410555105722, 0.22340691348306163, -0.3044494701661696, -0.7879505953491482, -0.8494618804685203, -0.16166973178780894, -0.01898263800478087, -1.1491684555349635, -0.13156499093824733, 0.6027041534016838, -0.41754416249750925, -0.9809544132336867, 0.8218405474925491, -0.04614070676091995, -0.9084781449020345, 0.9603789405256168, -1.1076388172357619, -0.7131356336692611, -1.5368389853838762, 0.838640642900358, -0.16218442408463013, -0.3705423227507952, 0.16776550170405832, 0.18365185528438183, 1.6349347284114826, -0.7531498012607989]","[1, 1, 1, 2, 0, 2, 0, 1, 0, 2, 1, 0, 2, 0, 2, 2, 0, 2, 1, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 2, 2, 2, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 2, 1, 1, 2, 2, 2, 0, 2, 2, 1, 1, 2, 0, 1, 2, 1, 1, 1, 0, 2, 1, 1, 2, 1, 1, 0, 2, 1, 0, 1, 0, 0, 0, 2, 1, 0, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 2, 0, 0, 0]"
"[0.7780905863017417, -1.2370361795796256, -0.9605227440566491, 1.2415570660305617, -1.0286459598814355, 1.2442387525003291, 1.3991418626407957, -0.24794444919024541, -0.7169813891931449, -0.22793911390611848, 0.05508457732076841, 0.7011021392344848, -1.8095067479849238, 0.5643088616753112, -0.9542192164425124, -1.1151322041327802, -0.06771834742774478, -0.4318697799457127, -2.5213795865659523, -0.6717665260736262, 0.20768818265738345, 0.34788942403314393, 0.5334597862454074, -1.9182566615731633, 1.0101709333817481, 0.37934349910234916, 0.926995449127311, -0.6912434869047969, -1.3778930183555598, -1.6571650548907242, 1.1398666749862947, 2.422987542234999, -0.2631398421378644, -0.48754719834314336, -0.13679803266874369, 1.0407217713371697, -0.1372797016056336, -0.8857331808976979, -0.0732347231450665, 2.0857286060405538, -2.6513353548522702, 1.8166637143966593, -0.15468656047444998, 0.4311498684875338, 0.07437070884715068, -0.4672709863868707, 1.6592663839112638, -0.9858337236500998, -0.24397098192320907, 2.3382437159811964, 0.6221458941167949, -0.06004874765646705, -2.05651011566613, 2.8702755522555696, 0.8267271808034151, 1.0012278475450782, -1.659840055682261, -0.29665768516977753, 1.6356315229894978, -0.86256543138275, 0.8697311194689615, -2.149859470015361, 0.9780051750661978, -1.770918070098249, 0.6805864342160962, -1.0528681185129, -0.7742005772516454, -0.9660420074938432, 0.46490549043527296, 0.18293706851142622, 0.5385461396591072, 1.5213835867306145, 0.31924004158939573, -0.6237159688976431, 2.3484699382822316, 1.6515592454297339, -0.10118105986302706, -0.3779338381875677, 0.26607602296138666, 0.35140977036290333, -1.7302352443093054, -0.1031324724626013, -1.0073314785676453, 0.2050850802019111, -0.4455486896762862, -0.9817616118721888, -0.620598742565644, -1.246199940008729, 1.5718338443627908, 0.6453499053423376, 0.4486689199388349, -1.2756248650644646, -0.5673212370924546, -0.6439113701324174, 0.7110678567013676, 1.998620154326417, -0.15613775554950393, -1.0336088285586338, 0.9957382358496689, -0.7118042563109995]","[2, 0, 2, 2, 0, 2, 0, 0, 0, 0, 2, 0, 2, 0, 0, 2, 1, 2, 2, 0, 2, 0, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 0, 1, 1, 2, 1, 1, 0, 2, 1, 2, 1, 0, 0, 2, 0, 1, 2, 2, 1, 0, 0, 0, 2, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 2, 2, 1, 0, 0, 0, 1, 0, 2, 1, 0, 2, 1, 0, 1, 1, 1, 0, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2]"
"[-0.19399400517566084, -1.2227912922819033, 1.5482270275953667, -1.91463420730294, -0.3116903981693541, -0.014858608499926465, 0.9554496175317602, 0.2970850777436193, 1.4411875881990928, -1.0772948277169716, -0.8701180636451934, -0.8029091978473454, -1.5659586810161898, -0.3815710121182101, -0.5720465028563747, 0.04650204288919861, 0.3387136271570871, -0.6061447910653156, 1.3457600613901304, 0.6974734346088205, -1.1226540397914035, -0.5154305952157981, 0.6427060764383775, 0.6520235770972174, 0.9176605632539583, 0.1051136757539606, 0.5311163170665711, 0.7309794841769899, 0.7737345411742518, -0.4368649133253857, 0.5079586051446388, -0.6939411345662868, -0.4697977754906471, -0.12354402744147926, -1.9035431469287947, -0.3540822156964229, 0.018312975933301542, 0.8687185721506058, 0.6426850550411684, -1.188680188840524, 0.5514559930377678, 0.188336725663906, -0.1538165447907677, 0.19667363967444745, -0.3254639542286747, -0.29182083834216743, 0.4655056703187692, -1.1635913528377242, 1.8196959771042633, -1.226209117601231, 0.7790090326923732, 0.5982876410986758, -1.9329073468719378, 0.4922000156302443, -1.3552467814236024, -0.7117178685911061, 1.9805090118686939, 0.31702167095031875, 1.964499339292398, -0.21218209013159572, 0.54381246432554, -0.30724131321164344, 0.5662093095222428, -1.6959023858620728, 1.744039831441887, -0.7844544809845144, -0.7661105399168131, 2.7086093357914733, 0.024844854156333987, 1.1997673992191868, 0.5804356750272437, 0.7776851981618457, 0.13507480707784708, 0.5189762911601259, 0.949363987105251, -1.4924678058797534, 1.3471881444863, 0.2018089560344706, -0.458282240748433, -0.07321030908178014, 1.3097294323881703, -0.01693683724215332, 0.8004815215909741, 0.9013519962160249, -0.4642996962681456, 0.09236680666609336, 1.5899031237273262, 0.19564986199288498, -1.0547338552297632, -0.13800749891480574, 0.0009498263897381479, 0.6932132948558061, -1.4939364785850522, 1.1932408232064422, -0.1236785331320719, -0.15321643138917013, 0.9190185935587433, -0.9883868523265877, 0.2142470929655515, -0.9294717773348686]","[2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 1, 0, 1, 1, 0, 1, 1, 1, 2, 2, 0, 0, 2, 2, 1, 1, 2, 2, 0, 1, 1, 0, 1, 1, 0, 2, 0, 1, 1, 0, 0, 2, 2, 1, 0, 1, 0, 0, 2, 0, 1, 2, 1, 1, 1, 2, 2, 1, 0, 0, 1, 1, 2, 0, 2, 2, 0, 0, 1, 0, 0, 1, 2, 0, 0, 1, 2, 0, 0, 2, 0, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 0, 1, 0, 0, 0]"
"[0.6639795834631372, -1.305020352712907, 0.5101925816144643, 0.309982881431755, 0.2446800291087061, 1.1534560592480425, 0.8350421273710585, -1.8216710476187639, -0.24719062009912177, -0.1264236278845382, 0.26971346457395107, -0.5680590233895315, 1.7639066755746664, -1.8751343740956758, 0.33119375671371687, 0.37360085621108635, 1.2479034714709807, -0.6972560952347857, -1.794663123703078, 1.2369917412960336, 0.9082059224726152, -0.24984022800245184, 0.8143738534754997, 0.37326844480656196, 0.48935922411759464, 0.3581612121177056, 0.266235686096861, -0.006689328065347837, -0.7128257565646801, 0.5093131438100394, -0.39509688249482594, 0.037333732612505804, -1.5470023519761287, -1.6090293470621233, 1.8578856487611421, 0.8910711021913319, 1.1439830243336477, 0.018813920308066636, 0.04276819054538389, -1.5414714947705028, 1.4969405781919027, -1.6525653114647612, 1.2373424346553956, -0.6520355799313099, -1.1146977666557165, -0.13688053465721356, -0.11396869076587261, 0.6967782039540246, 0.5763021272046546, 1.7258422456375793, 1.8667450934533796, -0.25451050094830835, 0.10160906497584009, -0.1190725454487862, 0.5885616200765846, -0.29624967537778324, -0.04962705375714666, -2.246176637016425, -0.07186150869972362, -2.1046708158392278, 1.1346547993332636, 0.2667662278324707, -0.9257332539795889, -1.3054968588688076, 0.9346203830296129, 0.01936787471972317, 1.1996203149210245, 2.1545523314276327, -1.3686365661112658, -1.6766514255658866, 0.42445385480401926, 0.11105006791325865, 0.5999276170032413, -0.12369089671656351, -0.23925496176598743, -0.3020063023414328, 1.4906667644470846, 2.7508470343414415, 0.906375054767432, 0.1757138440091262, -0.3394352385955, -0.7722445515176886, -0.32368595549920476, 0.7784133009821659, 1.0059100786635236, 0.006350647549000367, -0.26001201366638704, -0.27487200219082136, 0.6531459544486794, 1.3950706703530729, -0.2654608973430992, -0.2634438869891838, 1.4177407524772354, 0.9689104693630944, 0.34066135075989645, -1.5301534722027383, 1.746753633042377, -0.25884455467985573, -1.3059023004945791, 0.060616573150603065]","[0, 1, 2, 2, 1, 0, 1, 0, 2, 1, 1, 2, 0, 1, 1, 1, 0, 2, 2, 1, 1, 1, 0, 0, 1, 0, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 0, 2, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 0, 2, 2, 1, 2, 2, 1, 0, 0, 0, 2, 0, 1, 2, 2, 1, 1, 1, 2, 0, 0, 2, 1, 2, 2, 2, 0, 1, 2, 1, 1, 1, 1, 1, 2, 0, 0, 2, 2, 1, 1, 2, 2, 0]"
"[-0.13003854527763373, -1.2894330476370603, 1.2230644126115326, -0.4805525303661986, 2.6143303186157696, -1.4026816138941083, -0.7705113465809614, 0.901814303759401, -0.3729504397131945, 0.6179768940076875, -0.6948371098465776, 0.2709173037873726, -1.5156396679912634, 0.010350780852794854, -0.046789421652646226, 0.15638517780923744, 2.552996725108769, -0.12816838764905059, 2.097033326957933, 0.5388877987250991, -0.41962858348098436, 0.0913637814509174, 0.9201081384360328, 0.3894513586417158, 1.6198691414335298, 0.23205273945482993, 0.8577723398487203, -1.0594944972260905, 2.184050441255917, -0.987740736297746, -1.6127688317293483, 0.986878378429751, 2.6970900666937987, -1.372139311695811, -1.5274927824468496, -0.8774336946301186, -0.1368310781456322, 0.19467158786888208, 1.8416502360051117, 0.05389662335334062, 0.4150792127167992, 0.4391928723133349, 0.9494607584282321, -1.5764507739376457, -2.0134454336450984, 1.084012681027331, 0.532372060277019, -0.8127834810467921, 0.7978674385883292, -2.5304141901336537, 0.5843502280425558, -1.3118864738454936, -0.4310038347967813, 0.37460781367913826, -0.5350834412223077, 0.4364272394013153, 0.28271404073832407, -0.17029752454967947, -0.47322260657482573, -0.7003273514613813, -0.1814081244232825, -2.183446019532532, 0.6525884775438765, 0.8630387398570969, -0.6504260910423004, -1.126528243061391, 1.0671580490883326, 1.291711066692037, -0.7089285776270118, 0.04920386417505745, -0.7590499664190437, -0.36592595613657525, 0.5918983696913733, 0.5929426891212122, -0.4276949765771657, 0.12907998967849627, -0.38771794730824144, -1.2894937992129007, -0.2596631916245513, -0.10534488414285927, 1.1593987063468663, -0.6112933256702687, -0.2742069567220851, -1.9248811049518644, 1.168683252975118, -0.48700817000754576, -1.4244997956409498, 0.3550671892514087, -1.6050539877587024, 0.8380019635629696, -0.04722683006734604, 2.172916067550063, 0.2599506694427885, -1.9930139929198702, -1.7215806233015056, 1.7164951500215564, -0.3246484895855018, -2.4203079628055817, 1.7872847468120852, 1.1896578399541187]","[0, 2, 2, 0, 0, 1, 2, 1, 2, 2, 1, 0, 1, 2, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 2, 2, 1, 1, 2, 2, 0, 0, 1, 0, 2, 0, 0, 1, 1, 1, 2, 2, 2, 1, 2, 2, 0, 2, 0, 2, 2, 1, 2, 2, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 0, 1, 1, 2, 0, 1, 1, 0, 1, 2, 0, 2, 0, 0, 2, 2, 0, 2, 0, 0, 1, 0, 0, 2, 1, 1, 0, 1, 2, 2, 2, 1, 0]"
"[-0.20727475570252465, -0.1816628805454077, -1.182002952209375, 0.17737283288227446, -1.2890234830252816, -0.18046849682996316, -1.9873519282955296, -0.6484085071534851, -0.7595091942965704, 0.43370492892791246, -0.39569798838424275, -0.09731094895633051, 2.021251254559627, -1.2748061327235125, 0.2209406455906579, -0.5902685772295186, -0.12544901946491516, -0.7005326269509139, -1.0773494248515412, -0.09351494878674745, -0.3421124808978501, 0.576380174823342, -1.2453116110743816, 0.016394199839601734, 0.06467684044236854, -0.8154650528852605, 0.2295180658423842, 1.6000518210916157, -0.3628740401908336, 1.2356384505091516, -0.05180558956831435, 0.46654222430416137, -0.8054267788410631, -0.8152955280027827, 0.18179656376380718, -0.3934510467492623, 0.028878579537577647, 0.049308159932573, -1.6436778803725134, -0.879383582936489, 0.18734550981919504, -0.813999248065623, -1.4730254260079594, 0.4746020244271383, 0.1884341698428804, 0.13419277341758354, -1.4334060465848233, -0.6036560076639743, -0.268637615950226, 0.9878324994891077, 0.3844624967465677, 0.1159920222753028, -0.2688896297934204, -0.4789648939228991, 1.0989443580667917, 1.848726738678447, -0.8478984933729061, -1.0228882518740972, -0.41966038169532355, -1.1342581389341855, -1.4027804989984978, -0.012883072744803149, 0.09019080321398162, 0.3955309277584158, 0.9005742884060824, -0.49501414849671393, -0.3516677511949954, -0.9593952392451073, 0.037229201535692875, 0.20837663707123816, -0.21667970123514638, 1.2522556370686275, -0.5679860282635074, 0.019012421882082783, -0.49526672788252346, -0.9568049994204102, -0.27185005579427934, 0.10248170500965145, -1.076191110640509, 0.3067690875776984, 0.8080568013255764, -1.261320706280566, 2.0536749582648786, -1.1290136577808791, 0.3677301926740172, 0.5330182035699663, 0.45891984772914574, 0.13132303137680088, -0.6635309859636505, -0.20454791652664303, 1.0044303463944266, 0.28308410889144014, 0.6302756506014868, 0.28899060098620083, -0.3879022508483128, 0.24797587738574864, 0.15580150203432103, 0.03053096341693549, -1.8659990213609337, 1.8201019160371676]","[2, 2, 0, 1, 1, 0, 1, 0, 2, 0, 2, 2, 2, 2, 2, 0, 0, 1, 2, 1, 0, 0, 2, 2, 0, 0, 0, 1, 0, 1, 2, 0, 2, 1, 2, 0, 1, 2, 0, 2, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 2, 1, 0, 0, 2, 0, 2, 0, 1, 1, 0, 1, 2, 1, 0, 2, 2, 1, 1, 1, 0, 2, 0, 2, 2, 0, 2, 0, 1, 2, 0, 2, 0, 2, 0, 1, 2, 1, 2, 1, 2, 1, 1, 0, 0, 1, 0, 2, 0]"
"[0.15786096216934936, 0.8319095369193047, -0.8574836256143107, -1.889825705521545, -0.9671671470424539, -0.5628518476302707, -0.020076742902320976, -0.7547822467603823, -1.3486418130896562, -0.48598573192126937, -0.23700217202115456, -0.984070538213011, 0.0456080369358445, -1.0394471052805296, -1.8570092498306863, 0.46458059848239425, 1.800908410488161, 0.21773685027272352, -0.25267398911596856, -1.0859297308603184, -0.42964603009855745, -1.6289403966825626, -1.0134625671582984, 1.3683905455138454, -1.1027496774353995, -1.1434281743033283, -1.159149483238593, -0.8664675363603089, 0.06570810373985615, -0.5793429478871932, -0.8960066366208681, 1.3660344207365513, -0.9521714049926872, -0.5478591136961267, 0.3505496583302013, 0.9461912494175813, -0.12520844737854536, -0.18761759663366362, -0.5353986726195542, 1.3154686111660214, -1.617849082686107, 1.3061629768281495, 0.15355744963223053, -1.1129555619978868, 1.1619063172216995, 0.29293740518872186, -0.43932025234675715, 0.07593791363987953, -0.3213416840556992, -0.6008382327584225, 1.751529691854784, -0.8535764869669312, -0.008990734816892575, 0.6366576011593008, -0.1808573256419119, 0.2692885107049354, -0.9876573758331365, -0.4854086350567344, 1.681196030968226, -1.1101080084893937, -0.19860394795359054, -0.9770801839790023, -0.3460160229484884, -1.3226027765905344, -0.04550702602073092, 2.2038658643005444, -0.20153911480101072, -1.0503580919926558, -1.2417237816331785, -1.4537013879463097, -0.6433865999891006, -0.7663847247665616, 0.8807847950795743, 0.22870975879599165, 1.541098257069528, -0.5630879953710172, -0.38330070507821995, 1.622152509804129, 0.15496762262466382, 1.1473108383414008, -0.842855502939114, 0.5143868715980954, 1.3855181696641294, 0.5454638253482468, 0.39582809800869445, 0.1172358933488773, -1.2310683160626317, -0.11000416565720805, -1.3162571109581493, 0.04258477231972283, 0.13195643941298751, -0.37467590154297026, 0.8822640722488584, 1.0864248638893665, -0.7126702809253712, -0.6427752581883858, -0.5285528478714626, 0.19298529717674948, -1.5459549444939402, 2.1333114851759074]","[0, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 1, 1, 0, 2, 0, 1, 0, 2, 1, 1, 1, 0, 1, 2, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 2, 2, 0, 2, 0, 2, 1, 0, 1, 0, 1, 2, 0, 2, 2, 2, 2, 2, 2, 0, 2, 0, 2, 2, 0, 1, 1, 0, 0, 2, 2, 1, 2, 0, 1, 2, 1, 2, 1, 1, 2, 2, 0, 1, 2, 2, 0, 0, 2, 0, 2, 2, 2, 0, 1, 0, 1, 2]"
"[0.5174168369685654, 0.5680128018024831, -0.9321398042316749, -0.035028523657727254, 0.6886034383912262, -0.11260767725501408, 0.0013149834767946316, -0.6714349847355052, -1.6977187933696487, 0.4356287991573985, 1.587151085253657, 0.004861707072163308, 0.03468222787732615, 0.1732176621608937, -0.12853215935930162, -0.9759163102511706, -1.159493028228229, 1.9395709721987682, -0.33365374195207637, 0.8284563818287584, -0.5016614107147305, 1.750947526506673, -0.5567965898596842, 1.7860996486146221, 0.3731184549479415, -0.027200755214519853, 2.474089899825975, -0.39332216536606324, -0.23279413864626844, 0.527064757445298, 0.6297426231720665, -0.03191998108895879, -3.1844790994077563, -1.4341475838765323, -0.06625382719020063, 0.09836197357385973, 0.45519270825380803, 1.162444534340734, 0.04769187036975399, -0.06267540596297475, -0.6579287290893346, 1.8690000183180098, -0.8917361435138343, 1.6460033477306895, -1.4213997286213247, -0.3095253413907418, -0.18228034273866187, -0.4137390925182781, 1.118087637949899, 2.2357124569971827, 0.6083672422779267, -0.6560882406307745, 0.5276135493754662, -0.48626108641840865, 0.9232007760473792, 0.08583361761046678, 0.7666228118711939, 0.7144095921437003, 0.13326856262730122, -1.0398618135352389, -0.2837690268908733, -0.6247046214491467, -1.146981530261944, 0.858537669612755, -0.5938640289951118, 0.12448444038090134, -1.280808992471167, 0.4972465298099423, -0.026345869202390723, 0.19060309812299903, 1.3327377887066514, 1.8734476951289942, -0.9789540451228973, -0.23704626281003308, 0.6673612911122155, 1.633785087025897, 0.16801993411954252, 2.418823273818936, -0.9110807091145485, 0.06539029366373092, -0.8354022341101277, -0.04451985584137822, 0.10560749289576293, -0.10343028000230195, -0.783790922960166, 0.9897720077968722, 0.3798777428435002, -0.47868392685046895, -0.058570985794884386, 2.3349842598288775, 0.6940897171336234, 1.5330136804292838, -0.7531625053406608, -1.4850265609673192, 1.0927848301759802, -0.28706549322004093, 0.19270064303448012, 1.0539527912662787, -0.4217856675695668, 1.375081874872018]","[0, 1, 0, 1, 0, 1, 2, 2, 2, 0, 0, 2, 2, 1, 1, 0, 1, 0, 1, 1, 0, 2, 1, 2, 0, 2, 2, 0, 1, 2, 0, 1, 2, 0, 0, 1, 0, 2, 1, 2, 0, 2, 2, 0, 2, 1, 1, 0, 2, 1, 1, 1, 1, 2, 2, 0, 0, 2, 1, 0, 2, 1, 0, 0, 0, 2, 2, 1, 0, 0, 2, 1, 0, 2, 1, 0, 0, 1, 1, 2, 1, 0, 1, 0, 2, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 1, 0, 2, 2, 2]"
"[-0.46685337356832296, -1.13851886505578, 1.0845997501938904, -0.11386437928960084, 1.5608699119950027, 0.45178096336355494, 3.9033268405731096, 0.45217029003834275, 0.05352757122593193, -1.2477440734591252, -0.5211984248493827, 0.7857651446091612, -0.3714276357115623, 0.6645949907030047, 1.0423756895771117, 0.31358022862317486, 0.04427086452894065, -1.4746749764053122, -0.8031901567245514, 0.9841030339484743, -0.20123480637548302, 1.1013615727145643, 0.5632647183746113, -2.605495597793983, 1.469992316392479, 0.21602414681083912, -1.5918203057637288, -0.18173719104596414, -1.3556417162270509, 0.6101888245960692, 0.9435544914074063, -0.3157590177554997, 0.06852217055144183, -0.08512702663831853, 1.2166775822572753, 0.21132620232981086, -0.3387931359900231, 0.6651676736743604, -1.0309737372931358, 0.06934934640327223, 2.5785817068127286, 1.5976758220937821, 1.5911263237001534, -1.3111839444482294, -1.8118756760558372, -0.06914462196519673, 1.7273140785557388, -2.601438175022805, -1.0969522769006448, -1.404801048026689, -0.3717649473984867, -0.6712582083996246, 0.2859334870493059, 0.3285806270772791, -0.6462161666338276, 1.5070195549818544, -0.20439331094637556, -0.7537245171890274, -2.345497840400252, -0.4338166049774415, 0.35430047380740404, -2.2155075266735516, -1.1312262708745848, 0.05409750197263195, -1.1089253384260518, 1.2894779500891171, 2.037625743340659, 0.18590415057372467, 2.1625710983568323, -1.0040298592572252, 0.12418366851639977, -0.430769669408404, 2.1393930050856884, 0.72427446247076, -2.418848216578944, 0.061580966282580155, 0.2609418169827849, 0.7976659462650835, 0.14771857817786016, -0.0040365125753739186, 0.4147620478947304, -0.09352686329937303, 0.9638433356692098, 1.2211961117176693, -0.011864949958809544, -0.3492764688684256, -0.4063621920400797, 1.3349483964050717, -0.4493250730643743, -0.3113131414280439, 0.4832423102757492, 1.0056768474663722, 0.24409368409617116, 0.7494165297121067, 1.8446645935725055, -0.5764301923486638, 0.48804890069794266, 1.8709564827093803, 0.478546208508052, 0.5473867876232567]","[1, 1, 2, 2, 0, 1, 0, 1, 1, 1, 1, 1, 2, 0, 0, 2, 0, 2, 1, 2, 0, 0, 0, 1, 1, 0, 1, 2, 0, 2, 2, 0, 2, 2, 0, 0, 2, 0, 2, 1, 0, 2, 1, 1, 2, 2, 0, 2, 1, 0, 2, 1, 2, 2, 0, 2, 0, 0, 1, 1, 1, 2, 0, 2, 0, 0, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 0, 1, 2, 0, 2, 0, 0, 0, 0, 1, 0, 1, 2, 2, 0, 2, 1]"
